Name,Twitter Handle,Category,Notes
Morgan Stanley,@MorganStanley,Financial Corporation,Investment banking
Citigroup,@Citi,Financial Corporation,Global banking
Bank of America,@BankofAmerica,Financial Corporation,Banking financial services
Wells Fargo,@WellsFargo,Financial Corporation,Banking financial services
Vanguard,@Vanguard_Group,Financial Corporation,Asset management ESG funds
State Street,@StateStreet,Financial Corporation,Asset management ESG advocacy
Fidelity,@Fidelity,Financial Corporation,Asset management retirement
HSBC,@HSBC,Financial Corporation,Global banking greenwashing
Climate Pledge,@ClimatePledge,Corporate Initiative,Amazon-led corporate climate commitment
World Economic Forum,@wef,Corporate Institution,Davos global elite gathering
McKinsey & Company,@McKinsey,Consulting Corporation,Management consulting greenwashing
Boston Consulting,@BCG,Consulting Corporation,Strategy consulting sustainability
Deloitte,@DeloitteUS,Consulting Corporation,Big Four sustainability consulting
PwC,@PwC,Consulting Corporation,Big Four ESG advisory
EY,@EYnews,Consulting Corporation,Big Four climate services
KPMG,@KPMG,Consulting Corporation,Big Four ESG reporting
Breakthrough Energy,@BEVentures,Climate Investment,Bill Gates' climate tech fund
Breakthrough Energy Coalition,@BE_Coalition,Climate Initiative,Bezos Gates coalition
Bezos Earth Fund,@bezosearthfund,Climate Investment,Jeff Bezos $10B climate pledge
Climate Action 100+,N/A,Climate Initiative,Investor climate engagement
Net Zero Asset Managers,N/A,Climate Initiative,Finance industry net zero commitment
Science Based Targets,@ScienceTargets,Climate Initiative,Corporate emissions framework
UN Global Compact,@globalcompact,Corporate Initiative,UN corporate sustainability
Sustainable Development,@GlobalGoalsUN,Corporate Initiative,UN SDG framework
B Lab,@BCorporation,Corporate Initiative,B Corp certification
Ceres,@CeresNews,Climate Initiative,Investor environmental advocacy
CDP,@CDP,Climate Initiative,Corporate environmental disclosure
Task Force TCFD,N/A,Climate Initiative,Climate financial risk framework
Glasgow Financial Alliance,N/A,Climate Initiative,Financial institutions net zero
Race to Zero,N/A,Climate Initiative,UN climate commitment campaign
Ellen MacArthur Foundation,@circulareconomy,Climate Initiative,Circular economy corporate partnerships
AI Now Institute,@AINowInstitute,AI Ethics Organization,Kate Crawford's research institute
DAIR Institute,@DAIRInstitute,AI Ethics Organization,Timnit Gebru's independent research
Algorithm Watch,@algorithmwatch,AI Ethics Organization,Algorithmic accountability
Partnership on AI,@PartnershipAI,AI Ethics Organization,Multi-stakeholder AI ethics
Center for AI Safety,@AIxrisk,AI Safety Organization,Existential risk focused
Future of Humanity Institute,N/A,AI Safety Organization,Oxford longtermism - closed 2024
Machine Intelligence Research,@MIRIorg,AI Safety Organization,AI alignment research
Future of Life Institute,@FLIxrisk,AI Safety Organization,AI existential risk
Effective Altruism,@EffAltruism,Movement,Longtermist EA community
80000 Hours,@80000Hours,Movement,EA career advice
GiveWell,@GiveWell,Movement,EA charity evaluator
Open Philanthropy,@openphilanthropy,Funding Organization,Major EA funder
Long-Term Future Fund,N/A,Funding Organization,EA longtermist funding
Centre for Effective Altruism,@centreea,Movement,EA coordination organization
Rethink Priorities,@RethinkPriority,Research Organization,EA research
Stanford HAI,@StanfordHAI,Research Institution,Human-centered AI institute
MIT Media Lab,@medialab,Research Institution,Technology research innovation
MIT CSAIL,@MIT_CSAIL,Research Institution,Computer science AI lab
Berkeley AI Research,@berkeley_ai,Research Institution,UC Berkeley AI lab
Oxford Future of Humanity,N/A,Research Institution,Longtermist research - closed
Carnegie Mellon AI,@cmu_ai,Research Institution,CMU artificial intelligence
Allen Institute for AI,@ai2_ai,Research Institution,Paul Allen's AI research
Chan Zuckerberg Initiative,@CZI_Research,Philanthropic Corporation,Zuckerberg charitable LLC
Gates Foundation,@gatesfoundation,Philanthropic Corporation,Bill Gates global health development
Schmidt Futures,@schmidtfutures,Philanthropic Corporation,Eric Schmidt's philanthropic ventures
Omidyar Network,@omidyarnetwork,Philanthropic Corporation,Pierre Omidyar's investment philanthropy
Emerson Collective,@EmersonCollective,Philanthropic Corporation,Laurene Powell Jobs' organization
Bloomberg Philanthropies,@MikeBloomberg,Philanthropic Corporation,Michael Bloomberg's giving
Rockefeller Foundation,@RockefellerFdn,Philanthropic Corporation,Historic philanthropy climate
Ford Foundation,@FordFoundation,Philanthropic Corporation,Social justice philanthropy
